account_id,customer_id,branch_id,account_type,open_date,close_date,current_balance,interest_rate,overdraft_limit,status
ACC0000001,C000367,BR012,IRA,2022-08-19,,38653.84,3.39,0.0,Active
ACC0000002,C000449,BR031,IRA,2022-05-10,,39012.16,3.39,0.0,Active
ACC0000003,C000439,BR034,Money Market,2022-03-27,2025-12-14,0.0,2.58,0.0,Closed
ACC0000004,C000115,BR029,IRA,2021-07-21,2025-12-14,0.0,4.95,0.0,Closed
ACC0000005,C000104,BR025,Money Market,2018-11-01,,35567.63,2.12,0.0,Active
ACC0000006,C000414,BR023,Certificate of Deposit,2013-01-27,,17482.25,3.76,0.0,Active
ACC0000007,C000297,BR013,Savings,2021-08-10,,11165.25,3.09,0.0,Active
ACC0000008,C000199,BR030,Savings,2018-11-21,,2503.66,2.36,0.0,Active
ACC0000009,C000287,BR033,Business Checking,2017-01-06,,360.78,0.39,4591.94,Active
ACC0000010,C000190,BR005,Certificate of Deposit,2022-09-18,,1754.27,5.04,0.0,Active
ACC0000011,C000497,BR024,Savings,2023-12-15,2025-12-14,0.0,2.88,0.0,Closed
ACC0000012,C000225,BR010,Savings,2020-07-07,,5517.1,2.75,0.0,Active
ACC0000013,C000148,BR018,IRA,2022-12-28,,17199.09,3.81,0.0,Active
ACC0000014,C000237,BR002,IRA,2016-07-02,,18662.13,2.9,0.0,Active
ACC0000015,C000010,BR024,IRA,2019-02-13,,42910.49,3.81,0.0,Active
ACC0000016,C000495,BR028,Certificate of Deposit,2021-10-18,,52988.94,5.28,0.0,Active
ACC0000017,C000092,BR017,IRA,2021-03-07,2025-12-14,0.0,2.56,0.0,Closed
ACC0000018,C000248,BR008,Savings,2023-05-29,,8355.85,3.7,0.0,Active
ACC0000019,C000130,BR005,Money Market,2021-09-12,,35927.48,2.51,0.0,Active
ACC0000020,C000060,BR013,Savings,2018-03-27,,6281.18,1.14,0.0,Active
ACC0000021,C000226,BR023,Savings,2019-12-10,2025-12-14,0.0,1.84,0.0,Closed
ACC0000022,C000288,BR011,Business Checking,2023-05-05,,61914.61,0.96,1664.51,Active
ACC0000023,C000270,BR013,Checking,2019-05-15,,483.67,0.07,3481.35,Active
ACC0000024,C000384,BR001,Checking,2022-09-13,,5.0,0.26,1902.7,Active
ACC0000025,C000360,BR005,IRA,2019-02-01,,13419.38,2.71,0.0,Active
ACC0000026,C000022,BR006,IRA,2021-04-26,,15202.82,3.99,0.0,Active
ACC0000027,C000067,BR021,IRA,2021-04-07,,24176.89,3.68,0.0,Active
ACC0000028,C000044,BR033,Business Checking,2019-03-22,,4786.93,0.91,2840.31,Active
ACC0000029,C000196,BR014,IRA,2022-07-24,,14982.02,5.66,0.0,Active
ACC0000030,C000299,BR005,IRA,2016-12-12,,38102.58,3.45,0.0,Active
ACC0000031,C000321,BR001,IRA,2022-01-10,,3063.18,4.32,0.0,Active
ACC0000032,C000286,BR040,Certificate of Deposit,2023-12-23,,81130.31,4.79,0.0,Active
ACC0000033,C000006,BR024,Savings,2021-02-28,,14760.77,3.85,0.0,Active
ACC0000034,C000034,BR011,Certificate of Deposit,2021-08-24,,1463.11,4.41,0.0,Active
ACC0000035,C000372,BR009,Savings,2021-02-11,,924.81,3.67,0.0,Active
ACC0000036,C000447,BR014,Business Checking,2021-03-19,,4794.42,0.2,2960.2,Active
ACC0000037,C000253,BR010,Certificate of Deposit,2021-02-26,2025-12-14,0.0,4.24,0.0,Closed
ACC0000038,C000405,BR019,Savings,2022-12-16,2025-12-14,0.0,2.37,0.0,Closed
ACC0000039,C000200,BR030,Business Checking,2022-02-23,,39912.54,0.07,1331.85,Active
ACC0000040,C000318,BR008,Money Market,2013-04-11,,23552.02,2.84,0.0,Active
ACC0000041,C000226,BR024,Savings,2022-02-02,2022-06-27,0.0,2.86,0.0,Closed
ACC0000042,C000398,BR031,Certificate of Deposit,2016-10-13,2025-12-14,0.0,4.05,0.0,Closed
ACC0000043,C000173,BR005,IRA,2023-04-25,2025-12-14,0.0,4.53,0.0,Closed
ACC0000044,C000009,BR029,IRA,2020-06-26,,14140.14,2.05,0.0,Active
ACC0000045,C000277,BR025,Business Checking,2021-05-25,,50721.25,0.1,4863.13,Active
ACC0000046,C000178,BR033,Certificate of Deposit,2023-07-03,,34343.85,5.79,0.0,Active
ACC0000047,C000113,BR039,Certificate of Deposit,2015-01-24,2025-12-14,0.0,5.49,0.0,Closed
ACC0000048,C000452,BR029,Savings,2016-01-18,2025-12-14,0.0,1.83,0.0,Closed
